sutra_name,primary_category,safety_level,target_dosha,advice_type,"content (Sutra, Meaning, and Key Analysis)"
Varṣā Ṛtucaryā (Rainy Season) - Diet/Lifestyle,Ritucharya,LOW,Agni_Stimulating,"Dietary/Ahara, Lifestyle/Preventive","Sutra: भजेत्साधारणं सर्वमूष्मरगस्तेजनं च यत् । दिव्यं कौपं श्रृंत चाम्भो भोजनं त्वतिदुर्दिने. Meaning: Agni is weak and vitiated by cold wind, earth vapor, and sour Vipāka. Consume a diet/lifestyle that stimulates heat (Ūṣmaṇā). Drink rainwater, well water, or boiled water (Śṛta Ambu). Food should be light, dry, clearly sour, salty, and unctuous, mixed with honey. Avoid: River water, Sattu, day sleep (Divāsvapna), and excessive exertion."
Śarad Ṛtucaryā (Autumn) - Purification,Ritucharya,HIGH,Pitta_Pacifying,Lifestyle/Preventive,"Sutra: तज्जयाय धृतं तिक्तं विरेको रक्तमोणगम्. Meaning: Pitta accumulated in the rainy season is aggravated by the sudden intense sun. To conquer Pitta, one should perform Purgation (Vireka) and Bloodletting (Raktamokṣaṇa), and consume Bitter Ghee (Tikta Ghṛta)."
Śarad Ṛtucaryā (Autumn) - Diet/Lifestyle,Ritucharya,LOW,Pitta_Pacifying,"Dietary/Ahara, Lifestyle/Preventive","Sutra: तप्त तप्तांशुकिरणैः शीतं शीतांशुरश्मिभिः । समन्तादप्यहोरात्रमगस्त्योदयनिर्विषम् । शुचि हंसोदकं नाम निर्मलं मलजिज्जलम्. Meaning: Consume light food with Sweet, Bitter, and Astringent tastes. Drink Haṃsodaka (Swan Water), which is purified water detoxified by the Agastya star's rising (heated by day sun, cooled by night moon). Avoid: Dew/spray (Tuṣāra), alkali, excessive eating, curd (Dadhi), oil (Taila), fat (Vasā), sun exposure, strong alcohol, day sleep (Divāsvapna), and wind blowing from the East."
Ṛtusaṃdhi (Seasonal Juncture),Ritucharya,LOW,General,Lifestyle/Preventive,"Sutra: ऋत्वोरन्त्यादिसप्ताहावृतुसन्धिरिति स्मृतः । तत्र पूर्वो विधिस्त्याज्यः सेवनीयोऽपरः क्रमात्. Meaning: Ṛtusaṃdhi is the 14 days (seven days at the end of the old season and seven days at the beginning of the new). The regimen of the preceding season should be gradually abandoned, and the regimen of the succeeding season should be gradually adopted. Sudden change can cause diseases."
Qualities of Śāli Rice Varieties (Rakta Śāli),Knowledge of Food Substances,LOW,Tridosha_Pacifying,Dietary/Ahara,"Sutra: रक्तो महान् सकलमस्तूर्णकः शकुनाहृतः.... Meaning: Śāli rice varieties are sweet in taste/Vipāka, unctuous, aphrodisiac, constipating, astringent aftertaste, wholesome, light, diuretic, and cold. Rakta Śāli (Red Rice) is the best, conquering thirst (Tṛṣṇā) and the three Doshas (Tridōṣahā)."
Qualities of Ṣaṣṭika Rice,Knowledge of Food Substances,LOW,Tridosha_Pacifying,Dietary/Ahara,"Sutra: स्निग्धो ग्राही लघुः स्वादुस्त्रिदोषघ्नः स्थिरो हिमः । शष्टिको व्रीहिषु श्रेष्ठो गोरश्चासित गौरतः. Meaning: Ṣaṣṭika rice (harvested in 60 days) is the best Brīhi grain. It is unctuous, constipating (Grāhī), light (Lagu), sweet, pacifies the three Doshas (Tridōṣaghnaḥ), imparts stability, and is cold."
Qualities of Barley (Yava),Knowledge of Food Substances,LOW,"Pitta_Pacifying, Kapha_Pacifying",Dietary/Ahara,"Sutra: रूक्षः शीतो गुरुः स्वादुः सरो विगवातकृद्यवः ।। वृष्यः स्थैर्यकरो मूत्रमेदः पित्तकफाज्जयेत्. Meaning: Barley is dry (Rūkṣa), cold, heavy, sweet, laxative, and increases Vāyu. It is aphrodisiac, stabilizing, and conquers urinary disorders, fat (Medaḥ), Pitta, and Kapha."
Qualities of Wheat (Gōdhūma),Knowledge of Food Substances,LOW,"Vāta_Pacifying, Pitta_Pacifying",Dietary/Ahara,"Sutra: वृष्यः शीतो गुरुः स्निग्धों जीवनों वातपितहा ।। सन्धानकारी मधुरो गोधूमः स्थैर्यवृत्सर. Meaning: Wheat is aphrodisiac, cold, heavy, unctuous, life-giving, pacifies Vāta and Pitta, joins broken tissues, sweet, and increases stability."
Qualities of Pulses (General),Knowledge of Food Substances,LOW,"Kapha_Pacifying, Pitta_Pacifying",Dietary/Ahara,"Sutra: मृद्‌गाढकीमसूरादि शिम्बीधान्यं विबन्धकृत् ।। कशायं स्वादु संग्राहि कटुपाकं हिमं लघु. Meaning: Pulses (Green Gram, Pigeon Pea, Lentil) cause obstruction (Vibandha Kṛt), are astringent/sweet, constipating (Saṅgrāhī), pungent in Vipāka (Kaṭu-pākaṃ), cold, and light. Beneficial for fat, Kapha, blood, and Pitta disorders. Best Pulse: Green Gram (Mudga) is the best and increases Vāyu only slightly."
"Qualities of Cooked Foods (Mandā, Peyā, Odana)",Knowledge of Food Substances,LOW,Agni_Stimulating,Dietary/Ahara,"Sutra: मण्डपेयाविलेपोनामोदनस्य च लाघवम् । तृड्ङ्ग्लानिदोषशेषघ्नः पाचनोधातुसाम्यकृत्. Meaning: Maṇḍa (rice water), Pēyā (thin gruel), Vilēpī (thick gruel), and Odana (cooked rice) are sequentially lighter (Maṇḍa being lightest). Maṇḍa is best: aids digestion (Pācana), balances Dhatus, softens channels, induces sweating, and intensely kindles the digestive fire (Analam)."
Qualities of Garlic (Laśuna),Knowledge of Food Substances,LOW,"Vāta_Pacifying, Kapha_Pacifying",Dietary/Ahara,"Sutra: लशुनो भृशतीक्षणोषाः कटुपाकरसः सरः.... Meaning: Garlic is very sharp, hot (Uṣṇa), pungent in taste/Vipāka, laxative, beneficial for the heart, heavy, aphrodisiac, and kindles the digestive fire. Conquers Kapha, Vāta, worms, Gulma, and is a rejuvenative (Rasāyanaṃ). Caution: Pollutes Rakta and Pitta."
Qualities of Grapes (Drākṣā),Knowledge of Food Substances,LOW,"Vāta_Pacifying, Pitta_Pacifying",Dietary/Ahara,"Sutra: द्राक्षा फलोत्तमावृव्याचक्षुष्या सृष्टमूत्रविद् ।। स्वादुपाकरसा स्निग्धा सकषाया हिमा गुरुः. Meaning: Grapes are the best among fruits, aphrodisiac, beneficial for the eyes (Cakṣuṣyā), loosen stool/urine, sweet in taste/Vipāka, unctuous, slightly astringent, cold, and heavy. Destroys Vāta, Pitta, blood disorders, thirst, cough, and wasting."
Qualities of Pomegranate (Dāḍima),Knowledge of Food Substances,LOW,Tridosha_Pacifying,Dietary/Ahara,"Sutra: उद्रिक्तपित्ताच्जयति त्रोन्दोषान्स्वादु दाडिमम् ।। पित्ताविरोधि नात्युष्णमम्लं वातकफापहम्. Meaning: Sweet Pomegranate conquers the three Doshas and increased Pitta. Sour Pomegranate pacifies Vāta and Kapha and does not oppose Pitta. All Pomegranates are beneficial for the heart, light, unctuous, binding (Grāhī), and kindles the digestive fire."
Qualities of Wood Apple (Bilva),Knowledge of Food Substances,LOW,"Vāta_Pacifying, Kapha_Pacifying",Dietary/Ahara,Sutra: पक्कं सुदुर्जरं बिल्वं दोषलं पूतिमारूतम् । दीपनं कफवातघ्नं बालं ग्राह्युमयं च तत्. Meaning: Ripe Wood Apple is very difficult to digest and aggravates Doshas. Unripe Wood Apple kindles the digestive fire and pacifies Kapha and Vāta. Both are binding/constipating (Grāhi).
Qualities of Mango (Āmra),Knowledge of Food Substances,LOW,"Vāta_Pacifying, Kapha_Aggravating, Pitta_Aggravating",Dietary/Ahara,"Sutra: वातपित्तास्त्रकृद्वाल, बद्धास्थिकफपित्तकृत् । गुर्वाभ्रं वातजित्पक्वं स्वाद्वम्लं कफशुक्रकृत्. Meaning: Very raw mango aggravates Vāta, Pitta, and blood. Raw (with stone) aggravates Kapha and Pitta. Ripe sweet mango is heavy and pacifies Vāta. Ripe sour mango increases Kapha and Śukra."
Avoidances in Fruits/Vegetables,Knowledge of Food Substances,HIGH,General,Dietary/Ahara,"Sutra: हिमानलोणादुर्वातव्याललालाऽऽदिदूषितम् ।। जन्तुजुष्टं जले मग्नमभूमिजमनार्तवम्. Meaning: Avoid grains and vegetables contaminated by frost, fire, strong wind, saliva of venomous animals, insects, submerged in water, grown in unsuitable land, or grown out of season. Avoid all raw fruits except for Wood Apple (Bilva-varjitam)."
